Campbell Apartments, South, 40.18206601897366, -92.57801895262784
Campbell Apartments, North, 40.18246561225463, -92.57802431704594
Stokes Stadium, South,40.183008999824345, -92.58016976040048
Stokes Stadium, West, 40.18326382659914, -92.58133197018925
Barnett Hall, East, 40.183295679881724, -92.58382837619759
Barnett Hall, North, 40.18366521039449, -92.58390089296599
Pershing Building, South, 40.18493580873233, -92.58129913701411
Pershing Building, West, 40.18506696199197, -92.58152699587431
Ryle Hall, South, 40.18516234602028, -92.57947314536754
Ryle Hall, Southwest, 40.185310190992304, -92.57982585826359
Ryle Hall, West, 40.18567980201272, -92.57984458638195
Ryle Hall, Northwest, 40.186149562790334, -92.57979464473297
Ryle Hall, North, 40.18626752129318, -92.57948923862003
Ryle Hall, East, 40.18582073016562, -92.57903120493859
Adair Building, North, 40.186267517995454, -92.58120999693229
Bike Co-op, North, 40.1860297145386, -92.58135286850762
Violette Hall, South, 40.18642498013803, -92.58044445784441
Violette Hall, East, 40.18676717407843, -92.58002603327954
Violette Hall, West, 40.18675487971528, -92.580887022288
Violette Hall, North, 40.18716264158039, -92.58047664434328
MacGruder Hall, East, 40.186765125026405, -92.58145833279619
MacGruder Hall, West, 40.187217965864285, -92.58205646534725
MacGruder Hall, North, 40.18761343073712, -92.58171046042179
MacGruder Hall, Northwest, 40.18756226907726, -92.58202306376943
MacGruder Hall, NorthEast, 40.187471693664875, -92.58149115725574
Dobson Hall, South, 40.18645500962509, -92.57976743445778
Dobson Hall, East, 40.1867900364263, -92.5791479331608
Dobson Hall, West, 40.18674612524075, -92.57936933568618
Dobson Hall, North, 40.18699007591188, -92.57980575412563
Medical Center, East, 40.18744200068777, -92.58017476095416
Medical Center, West, 40.187448968164794, -92.58057736501777
BnB, South, 40.18735186256168, -92.57981198253974
BnB, East, 40.187868942167434, -92.57901438207253
BnB, West, 40.1877767066347, -92.57929976205622
BnB, North, 40.188233885662044, -92.57943638876336
Kirk Building, South, 40.18794600013307, -92.58010227539192
Kirk Building, North, 40.188415560367034, -92.58011325154514
Kirk Memorial, South, 40.18796556520768, -92.58093280431878
Kirk Memorial, North, 40.18819475566188, -92.58095109790749
Quad, Center, 40.18859389838243, -92.58084715173338
Pickler Memorial Library, East, 40.188198753154836, -92.58154748726884
Sub, South, 40.18750237779554, -92.5827762927442
Sub, East, 40.188015957968595, -92.58227090228132
Sub, West, 40.187954158149566, -92.58294788308007
Bookstore, West, 40.18815073357311, -92.58291009108676
Centennial Hall, South, 40.18749949698325, -92.58352044379552
Centennial Hall, East, 40.18793396927102, -92.58373371747376
Centennial Hall, West, 40.18791767661637, -92.58440552956293
Centennial Hall, North, 40.188349981745326, -92.58350116308667
Student Recreation Center, East, 40.18890443980999, -92.58371179443873
Mcclain Hall, South, 40.18914687827769, -92.58262210045326
Mcclain Hall, Northwest, 40.189562318626386, -92.58263922033537
Mcclain Hall, Northeast, 40.18953661330793, -92.58251864294316
Mcclain Hall, East, 40.189510821792474, -92.58227896682686
Baldwin Hall, South, 40.189038729883436, -92.58163480729027
Baldwin Hall, West, 40.189184693447935, -92.58208354617187
Baldwin Hall, East, 40.18937330140461, -92.58152237334595
Baldwin Hall, Northeast, 40.18968951656993, -92.58161744109668
Baldwin Hall, Northwest, 40.18959738234405, -92.58212597157129
Missouri Hall, Southwest, 40.18846905689012, -92.57975780571827
Missouri Hall, South, 40.18837222386613, -92.57945081610656
Missouri Hall, Southeast, 40.18846300483016, -92.57912005955714
Missouri Hall, East, 40.188771659198984, -92.57909233146317
Missouri Hall, West, 40.18878527627115, -92.57973601935873
Missouri Hall, Northwest, 40.18909846817624, -92.57975978629639
Missouri Hall, North, 40.18917714417632, -92.57946666073167
Missouri Hall, Northeast,40.18912116318561, -92.57908638972877
Ophelia Parish, South,40.18934859268022, -92.57992078187507
Ophelia Parish, Northeast, 40.189564596080935, -92.58058350936979
Ophelia Parish, East, 40.189380412163736, -92.5801621084895
Ophelia Parish, Southeast, 40.18911352850885, -92.5803276967914
Ophelia Parish, North, 40.18970662212874, -92.5801494447588
Ophelia Parish, West, 40.189409815709375, -92.57907562840353
West Campus Suites, South, 40.189265444691586, -92.5851294335771
West Campus Suites, Southeast, 40.18942538937652, -92.58487145404025
West Campus Suites, Southwest, 40.18938397516394, -92.58533133060595
West Campus Suites, East, 40.18986380725789, -92.58472377010308
West Campus Suites, West, 40.18985381079076, -92.58555939947244
West Campus Suites, Northeast, 40.18998947700486, -92.58482658803445
West Campus Suites, Northwest, 40.18998090862042, -92.58540423786695
Admissions, South, 40.19041228249042, -92.58247038521677
